"		지점번호",지점명,일시,평균기온(℃),최고기온(℃),"	최고기온시각",최저기온(℃),최저기온시각일교차,
"		108",서울,2019-12-01,4.6,6.2,12:12,2.3,23:54,3.9
"		108",서울,2019-12-02,-0.1,2.8,14:04,-3.2,23:55,6
"		108",서울,2019-12-03,0.5,4.2,15:01,-5,5:20,9.2
"		108",서울,2019-12-04,2,7.2,14:03,-2,7:57,9.2
"		108",서울,2019-12-05,-4.4,-0.2,0:03,-8.5,23:35,8.3
"		108",서울,2019-12-06,-5.9,-1,15:24,-10.6,7:53,9.6
"		108",서울,2019-12-07,-2.4,1.2,16:03,-5.5,1:54,6.7
"		108",서울,2019-12-08,-0.9,4.9,14:45,-5.5,7:43,10.4
"		108",서울,2019-12-09,3.2,8,23:11,-1.3,3:01,9.3
"		108",서울,2019-12-10,8.1,10.8,15:32,6,8:25,4.8
"		108",서울,2019-12-11,6.3,9.8,6:47,0.1,23:57,9.7
"		108",서울,2019-12-12,-0.7,3.4,14:58,-3.5,8:13,6.9
"		108",서울,2019-12-13,2.1,5.9,22:09,-3.7,6:29,9.6
"		108",서울,2019-12-14,2.7,6.4,14:24,-0.1,8:12,6.5
"		108",서울,2019-12-15,5.3,11,14:53,0.4,2:25,10.6
"		108",서울,2019-12-16,7.8,12.9,15:31,2.1,5:17,10.8
"		108",서울,2019-12-17,7.7,10.2,0:01,3.2,23:56,7
"		108",서울,2019-12-18,0.8,5.2,13:39,-1.7,8:15,6.9
"		108",서울,2019-12-19,-0.8,3.1,15:06,-4.5,7:40,7.6
"		108",서울,2019-12-20,-1.1,2,14:22,-3.5,23:52,5.5
"		108",서울,2019-12-21,-1.2,1.5,13:44,-5.1,6:03,6.6
"		108",서울,2019-12-22,4.1,8.4,15:13,0.3,7:03,8.1
"		108",서울,2019-12-23,3.4,5.2,0:01,0.3,23:51,4.9
"		108",서울,2019-12-24,0.8,6.5,14:51,-2.9,6:58,9.4
"		108",서울,2019-12-25,2,6.6,14:53,-2.7,5:39,9.3
"		108",서울,2019-12-26,2,4.1,14:39,-2.4,23:54,6.5
"		108",서울,2019-12-27,-1.7,2.6,14:42,-4.6,7:24,7.2
"		108",서울,2019-12-28,1.1,6.1,13:47,-3.6,3:36,9.7
"		108",서울,2019-12-29,3.8,6.2,15:25,1.1,0:43,5.1
"		108",서울,2019-12-30,2.7,6.8,11:31,-5.7,23:59,12.5
"		108",서울,2019-12-31,-7.9,-4.5,15:26,-10.9,7:34,6.4
"		108",서울,2020-12-01,1.1,6.7,13:58,-3.6,7:29,10.3
"		108",서울,2020-12-02,2.4,6.1,14:31,0.5,23:37,5.6
"		108",서울,2020-12-03,0.7,4.2,13:59,-2.3,23:50,6.5
"		108",서울,2020-12-04,-0.6,4.4,15:18,-4.6,7:01,9
"		108",서울,2020-12-05,2.1,6.6,12:07,-2.2,7:24,8.8
"		108",서울,2020-12-06,4.5,9.1,13:49,1.2,7:50,7.9
"		108",서울,2020-12-07,3.4,6.3,12:53,-0.7,23:54,7
