movieCd,movieNm,openDt,audiAcc,salesAcc,rank,rankOldAndNew,genres,directors,actors,showTm,watchGradeNm,nations
20040723,사랑에 빠지는 아주 특별한 법칙,2004-11-12,45231,299435000,7,NEW,멜로/로맨스,피터 호윗,"피어스 브로스넌,줄리안 무어",89,15세관람가,아일랜드
20040716,모터사이클 다이어리,2004-11-12,26998,174158000,8,NEW,드라마,월터 살레스,"가엘 가르시아 베르날,로드리고 드 라 세르나,미아 마에스트로",124,15세관람가,영국
20040657,여선생 VS 여제자,2004-11-17,300073,1868292500,2,OLD,코미디,장규성,"이지훈,이세영,염정아,이지영,정형민",109,15세관람가,한국
20040700,나비효과,2004-11-12,210019,1372071000,3,NEW,드라마,"에릭 브레스,J. 마키에 그러버","에이미 스마트,애쉬튼 커처,에릭 스톨츠,윌리엄 리 스콧,엘든 헨슨",113,18세관람가,미국
20040704,하나와 앨리스,2004-11-17,54301,342311000,6,OLD,드라마,이와이 슌지,"아오이 유우,스즈키 안",135,12세관람가,일본
20040731,엑소시스트: 더 비기닝,2004-11-17,39399,261480000,8,NEW,공포(호러),레니 할린,"이자벨라 스코럽코,스텔란 스카스가드",114,18세관람가,미국
20040711,화이트 칙스,2004-11-17,36521,229061500,9,NEW,코미디,키넌 아이보리 웨이언스,"숀 웨이언스,마론 웨이언스",108,15세관람가,미국
20040734,노트북,2004-11-26,107093,698222000,5,OLD,멜로/로맨스,닉 카사베츠,"레이첼 맥아담스,라이언 고슬링",123,15세관람가,미국
20040720,택시: 더 멕시멈,2004-11-17,47271,299606000,6,NEW,액션,팀 스토리,"지젤 번천,지미 펄론",97,12세관람가,미국
20040738,"DMZ, 비무장지대",2004-11-26,44286,286725500,7,NEW,"드라마,전쟁",이규형,"김정훈,정채경,박건형,김종환,조경진",100,18세관람가,한국
20040472,귀여워,2004-11-26,33391,216259000,8,OLD,"드라마,코미디",김수현,"김석훈,정재영,예지원,박희순,박혜성",116,18세관람가,한국
20040715,포가튼,2004-12-03,96496,633403000,6,NEW,스릴러,조셉 루벤,"크리스토퍼 코바레스키,줄리안 무어",97,15세관람가,미국
20040752,까불지마,2004-12-03,68990,448650000,7,NEW,드라마,오지명,"오지명,최불암,노주현,김정훈,임유진",100,15세관람가,한국
20040672,발레 교습소,2004-12-03,52051,323479500,9,OLD,드라마,변영주,"윤계상,김민정,도지원,이준기,온주완",119,15세관람가,한국
20040721,오페라의 유령,2004-12-08,442616,2809515000,1,OLD,"뮤지컬,드라마",조엘 슈마허,"제라드 버틀러,에미 로섬,패트릭 윌슨,미란다 리차드슨",141,12세관람가,미국
20040743,브리짓 존스의 일기2 : 열정과 애정,2004-12-08,309036,2020995000,2,OLD,"멜로/로맨스,드라마",비번 키드론,"르네 젤위거,휴 그랜트,린 콜린스",107,15세관람가,영국
20040682,역도산,2004-12-15,481034,3053647000,1,OLD,드라마,송해성,"설경구,이명수,유병훈",137,12세관람가,한국
20040717,블레이드 3,2004-12-15,290017,1889026000,4,NEW,액션,데이빗 S. 고이어,"웨슬리 스나입스,라이언 레이놀즈",112,18세관람가,미국
20040745,인크레더블,2004-12-15,244038,1530185000,5,OLD,애니메이션,브래드 버드,"홀리 헌터,크레이그 T. 넬슨,사무엘 L. 잭슨,제이슨 리",115,전체관람가,미국
20040736,엘프,2004-12-15,32996,203223000,7,NEW,코미디,존 파브로,"윌 페렐,제임스 칸,밥 뉴하트,에드워드 애스너,주이 디샤넬",95,전체관람가,미국
20040756,하울의 움직이는 성,2004-12-23,570121,3573023000,1,OLD,애니메이션,미야자키 하야오,"바이쇼 치에코,기무라 다쿠야",119,전체관람가,일본
20040748,폴라 익스프레스,2004-12-23,131070,828033500,7,OLD,애니메이션,로버트 저메키스,"톰 행크스,노나 M. 게이",100,전체관람가,미국
20040766,여고생 시집가기,2004-12-23,40924,252704500,8,OLD,코미디,오덕환,"은지원,임은경,김경환,심이영,황재석",103,15세관람가,한국
20040746,서바이빙 크리스마스,2004-12-24,23102,148832500,9,NEW,코미디,마이크 미첼,"제임스 갠돌피니,벤 애플렉,캐서린 오하라",91,12세관람가,미국
20040706,알렉산더,2004-12-31,598669,3797478500,2,NEW,"전쟁,드라마",올리버 스톤,"콜린 파렐,안젤리나 졸리,발 킬머,안소니 홉킨스",175,15세관람가,미국
20040755,내셔널 트레져,2004-12-31,381798,2464473000,3,NEW,액션,존 터틀타웁,"다이앤 크루거,니콜라스 케이지",130,12세관람가,미국
20040750,신석기 블루스,2004-12-30,142189,911259000,6,NEW,코미디,김도혁,"김현주,이종혁,이민아,이성재,남현",110,15세관람가,한국
20040744,샤크,2005-01-07,339927,2141225500,4,OLD,"애니메이션,코미디","비키 젠슨,롭 레터맨","윌 스미스,로버트 드 니로",90,전체관람가,미국
20048103,오션스 트웰브,2005-01-07,332414,2153269000,5,NEW,"범죄,코미디",스티븐 소더버그,"맷 데이먼,조지 클루니,앤디 가르시아,브래드 피트",125,12세이상관람가,"호주,미국"
20040774,몽정기2,2005-01-14,417232,2606339000,1,NEW,코미디,정초신,"이지훈,전혜빈,박슬기,송은채,조경진",101,15세관람가,한국
20040776,쿵푸 허슬,2005-01-14,307190,1985966000,3,NEW,코미디,주성치,주성치,99,15세관람가,중국
20040775,키다리 아저씨,2005-01-14,185866,1182870500,7,OLD,드라마,공정식,"하지원,연정훈,신이,김정난,정준하",98,12세관람가,한국
20040705,월드 오브 투모로우,2005-01-14,180504,1167501000,8,NEW,SF,케리 코란,"기네스 팰트로우,주드 로,안젤리나 졸리",106,전체관람가,미국
20040790,뉴 폴리스 스토리,2005-01-21,170520,1074069500,6,OLD,액션,진목승,"성룡,사정봉",121,15세관람가,홍콩
20040791,엘렉트라,2005-01-21,102811,673727500,10,NEW,액션,롭 보우먼,"제니퍼 가너,고란 비스닉",88,15세관람가,미국
20040786,공공의 적 2,2005-01-27,825700,5295599500,1,OLD,드라마,강우석,"설경구,정준호,유해진,강경덕,박웅",149,15세관람가,한국
20040785,말아톤,2005-01-27,592328,3733907000,2,OLD,드라마,정윤철,"조승우,김미숙,이기영,백성현,안내상",117,전체관람가,한국
20040779,레모니 스니켓의 위험한 대결,2005-01-28,318057,1986158000,3,OLD,코미디,브래드 실버링,"짐 캐리,에밀리 브라우닝",108,전체관람가,미국
20050008,B형 남자친구,2005-02-03,388139,2414084500,3,NEW,코미디,최석원,"이동건,한지혜,김꽃비,강기화,최석주",96,12세관람가,한국
20050007,그때 그 사람들,2005-02-03,266455,1729639000,4,NEW,"미스터리,코미디",임상수,"한석규,백윤식,송재호,김응수,조상건",102,15세관람가,한국
20040798,클로저,2005-02-03,87180,561840000,6,OLD,"멜로/로맨스,드라마",마이크 니콜스,"나탈리 포트만,주드 로,줄리아 로버츠,클라이브 오웬",103,18세관람가,미국
20040781,피닉스,2005-02-04,23637,152510000,9,NEW,액션,존 무어,데니스 퀘이드,113,12세관람가,미국
20050010,콘스탄틴,2005-02-08,830455,5380544000,3,NEW,"드라마,액션,스릴러,판타지",프란시스 로렌스,"키아누 리브스,레이첼 와이즈,시아 라뵈프",120,15세관람가,미국
20040797,마더 데레사,2005-01-21,50851,300772000,10,OLD,드라마,파브리지오 코스타,"올리비아 핫세,세바스찬 좀마",118,12세관람가,이탈리아
20050011,파송송 계란탁,2005-02-18,320107,2021531000,3,NEW,코미디,오상훈,"이인성,최무인,임창정,최태춘,현경선",120,15세관람가,한국
20040749,에비에이터,2005-02-18,206930,1327076500,5,NEW,"드라마,어드벤처,멜로/로맨스",마틴 스코세이지,케이트 블란쳇,169,15세관람가,독일
20040793,"제니, 주노",2005-02-18,115019,685783500,7,NEW,드라마,김호준,"김혜성,박민지,박영미,김유나,김지연",102,15세관람가,한국
20040771,레드 아이,2005-02-18,101943,635657000,9,NEW,공포(호러),김동빈,"송일국,장신영,곽지민,이동규,김혜나",98,12세관람가,한국
20050018,숨바꼭질,2005-02-25,228222,1440918000,4,NEW,"드라마,공포(호러),스릴러",존 폴슨,"로버트 드 니로,다코타 패닝",102,15세관람가,미국
20050004,네버랜드를 찾아서,2005-02-25,76651,491885000,7,OLD,드라마,마크 포스터,"더스틴 호프만,케이트 윈슬렛,조니 뎁",101,12세관람가,미국
20050016,나인 야드 2,2005-02-24,49695,316509500,10,OLD,코미디,하워드 더치,"브루스 윌리스,매튜 페리",98,15세관람가,미국
20050012,레이,2005-02-25,154208,1021512500,8,OLD,드라마,테일러 핵포드,"케리 워싱턴,제이미 폭스",152,15세관람가,미국
20050027,코러스,2005-03-03,62742,404028000,9,OLD,드라마,크리스토퍼 파라티에,제라르 쥐노,97,전체관람가,프랑스
20040778,마파도,2005-03-10,407651,2598227000,1,OLD,코미디,추창민,"김수미,여운계,이정진,이문식,오달수",107,15세관람가,한국
20050028,밀리언 달러 베이비,2005-03-10,234161,1527226289,2,OLD,드라마,클린트 이스트우드,"힐러리 스웽크,클린트 이스트우드",132,12세이상관람가,미국
20050033,Mr.히치: 당신을 위한 데이트 코치,2005-03-11,192817,1261244000,3,NEW,"멜로/로맨스,코미디",앤디 테넌트,"윌 스미스,에바 멘데스",118,12세관람가,미국
20050014,쏘우,2005-03-10,107848,700100500,6,OLD,"스릴러,공포(호러)",제임스 완,"캐리 엘위스,리 워넬",100,18세관람가,미국
20050013,잠복근무,2005-03-17,451182,2845994000,2,OLD,"코미디,액션",박광춘,"김원진,공유,김선아,하정우,이범수",111,15세관람가,한국
20050037,호스티지,2005-03-18,130465,841890000,5,NEW,스릴러,플로렝 에밀리오 시리,"케빈 폴락,브루스 윌리스",113,15세관람가,미국
20040751,"여자, 정혜",2005-03-10,32044,208513500,9,OLD,드라마,이윤기,"김꽃비,김도연,황정민,김혜옥,김지수",95,15세관람가,한국
20050042,"지금, 만나러 갑니다",2005-03-25,81867,513730500,6,OLD,"드라마,멜로/로맨스,판타지",도이 노부히로,"다케우치 유코,나카무라 시도",118,12세관람가,일본
20040702,윔블던,2005-03-25,55831,367959000,8,NEW,드라마,리차드 론크레인,"폴 베타니,커스틴 던스트",98,15세관람가,영국
20040741,래더 49,2005-03-25,27764,175131500,10,NEW,드라마,제이 러셀,"존 트라볼타,호아킨 피닉스",114,12세관람가,미국
20050049,주먹이 운다(Crying Fist),2005-04-01,360754,2303361500,1,OLD,드라마,류승완,"최민식,류승범,임원희,변희봉,나문희",134,15세관람가,한국
20050017,달콤한 인생,2005-04-01,324246,2117784500,3,OLD,액션,김지운,"이병헌,김영철,신민아,김뢰하,이기영",120,18세관람가,한국
20050048,미스 에이전트2 : 라스베가스 잠입사건,2005-04-01,64687,417065500,5,NEW,"액션,코미디",존 파스킨,"산드라 블록,레지나 킹,디트리히 베이더",115,12세관람가,미국
20050039,유희왕,2010-01-28,35302,174036000,10,NEW,"애니메이션,액션,어드벤처",츠지 하츠키,"마이크 폴락,웨인 그레이슨,에릭 스튜어트,카자마  슌스케,구자형",86,전체관람가,일본
20050029,엄마,2005-04-07,79215,485591000,5,NEW,드라마,구성주,"고두심,김유석,손병호,이혜은,반민정",96,전체관람가,한국
