movieCd,movieNm,openDt,audiAcc,salesAcc,rank,rankOldAndNew
20230209,앤트맨과 와스프: 퀀텀매니아,2023-02-15,862945,9230382306,1,NEW
20228966,어메이징 모리스,2023-02-15,51425,464742664,5,OLD
20210684,두다다쿵: 후후섬의 비밀,2023-02-15,45594,415211499,6,OLD
20193706,카운트,2023-02-22,223351,2137135141,3,OLD
20239573,서치 2,2023-02-22,196971,1917991783,4,OLD
20202026,마루이 비디오,2023-02-22,98703,988603900,5,OLD
20239913,바다 탐험대 옥토넛 육지수호 대작전 : 열대우림을 지켜라!,2023-02-23,23840,213803500,10,NEW
20208962,대외비,2023-03-01,496708,4934202130,1,OLD
20230533,"귀멸의 칼날: 상현집결, 그리고 도공 마을로",2023-03-02,299900,3812568000,2,NEW
20230495,아임 히어로 더 파이널,2023-03-01,134620,3257816000,6,NEW
20227684,멍뭉이,2023-03-01,107130,1025780481,8,OLD
20226270,스즈메의 문단속,2023-03-08,58685,747087350,10,OLD
20230200,똑똑똑,2023-03-08,21686,214876427,10,OLD
20197654,소울메이트,2023-03-15,118665,1157495193,3,OLD
20230081,샤잠! 신들의 분노,2023-03-15,63133,673792804,4,NEW
20230340,에브리씽 에브리웨어 올 앳 원스+,2023-03-01,63942,665819160,7,OLD
20230199,플레인,2023-03-15,25476,241411256,9,OLD
20230484,치킨래빗: 잃어버린 보물을 찾아서,2023-03-18,23123,205223200,10,NEW
20210544,웅남이,2023-03-22,172365,1596782098,2,OLD
20230767,파벨만스,2023-03-22,35345,369650693,5,OLD
20224780,모나리자와 블러드 문,2023-03-22,16289,147766899,10,OLD
20226410,던전 앤 드래곤: 도적들의 명예,2023-03-29,177853,1781718892,2,OLD
20230641,오토라는 남자,2023-03-29,22980,214169155,7,OLD
20226489,리바운드,2023-04-05,12455,112819000,8,NEW
20231010,에어,2023-04-05,77550,750881362,4,OLD
20231089,존 윅 4,2023-04-12,39141,459525505,6,OLD
20231035,카구야 님은 고백받고 싶어 -첫 키스는 끝나지 않아-,2023-04-06,11980,136089900,8,NEW
20200154,킬링 로맨스,2023-04-14,66641,657619606,4,NEW
20231009,거울 속 외딴 성,2023-04-12,23904,239966046,8,OLD
20225865,옥수역귀신,2023-04-19,78718,813634200,4,OLD
20231244,렌필드,2023-04-19,38879,378465335,7,OLD
20227890,슈퍼 마리오 브라더스,2023-04-26,22542,252860670,8,OLD
20198482,드림,2023-04-26,538862,5185380852,2,OLD
20231164,무명,2023-04-26,15976,142525009,9,OLD
20231496,가디언즈 오브 갤럭시: Volume 3,2023-05-03,1630894,17437607892,1,NEW
20231348,극장판 짱구는 못말려: 동물소환 닌자 배꼽수비대,2023-05-04,343243,3373460978,4,OLD
20231437,문재인입니다,2023-05-10,74721,735342855,5,OLD
20218656,롱디,2023-05-10,25914,216032800,8,NEW
20231592,분노의 질주: 라이드 오어 다이,2023-05-17,843292,8932114474,1,NEW
20231029,슬픔의 삼각형,2023-05-17,25412,249019794,9,OLD
20231839,인어공주,2023-05-24,344274,3638014808,3,OLD
20226411,범죄도시3,2023-05-31,316864,3351446543,4,NEW
19960041,아기공룡 둘리-얼음별 대모험,1996-07-24,47598,454338747,7,OLD
20231677,남은 인생 10년,2023-05-24,45006,480597000,8,OLD
20232025,트랜스포머: 비스트의 서막,2023-06-06,569478,5824005044,2,OLD
20228930,엘리멘탈,2023-06-14,516035,5134170186,2,OLD
20231971,플래시,2023-06-14,427306,4581518934,3,OLD
20211937,귀공자,2023-06-21,28616,188146989,7,OLD
20232180,스파이더맨: 어크로스 더 유니버스,2023-06-21,354057,3839697374,3,OLD
20232075,명탐정코난: 하이바라 아이 이야기 ~흑철의 미스터리 트레인,2023-06-23,36954,392168300,7,NEW
20227654,수라,2023-06-21,19222,172810105,8,OLD
20232273,인디아나 존스: 운명의 다이얼,2023-06-28,525961,5247991837,3,OLD
20232220,"2022 영탁 단독 콘서트 ""탁쇼""",2023-06-28,32667,783934000,8,NEW
20231781,애스터로이드 시티,2023-06-28,29075,288009694,10,OLD
20232631,미션 임파서블: 데드 레코닝 PART ONE,2023-07-12,166593,1776900032,5,NEW
20224579,악마들,2023-07-05,67881,681751404,8,OLD
20231889,보 이즈 어프레이드,2023-07-05,35208,351401960,9,OLD
20232570,극장판 도라에몽: 진구와 하늘의 유토피아,2023-07-08,32300,295437800,10,OLD
20232536,명탐정코난: 흑철의 어영,2023-07-20,361016,3415761463,3,OLD
20232740,바비,2023-07-19,256862,2446548505,4,NEW
20232778,인시디어스: 빨간 문,2023-07-19,241620,2438576734,5,OLD
